epoch,accuracy,loss,val_accuracy,val_loss
0,0.3905341923236847,1.3176463842391968,0.4524495601654053,1.2550972700119019
1,0.6534735560417175,0.9652952551841736,0.6714697480201721,0.8912325501441956
2,0.793523371219635,0.5772008895874023,0.6916426420211792,0.7981789708137512
3,0.8505397439002991,0.4101437032222748,0.6743515729904175,0.7606369853019714
4,0.8898422122001648,0.3191297948360443,0.7031700015068054,0.8148350715637207
5,0.9122613072395325,0.2600274085998535,0.6772334575653076,0.8489383459091187
6,0.9308054447174072,0.21366246044635773,0.680115282535553,0.9079750180244446
7,0.9435372352600098,0.1827801614999771,0.6714697480201721,0.9550391435623169
8,0.9548851251602173,0.15170572698116302,0.6974063515663147,0.9954699277877808
9,0.9579296708106995,0.13654725253582,0.6714697480201721,1.0677359104156494
10,0.9642956256866455,0.11552955210208893,0.6887608170509338,1.1094110012054443
11,0.9667866230010986,0.1119077205657959,0.6657060384750366,1.1497366428375244
12,0.9701079726219177,0.10272762924432755,0.6657060384750366,1.199308156967163
13,0.972045361995697,0.0937359482049942,0.6743515729904175,1.2312614917755127
14,0.974259614944458,0.08660061657428741,0.6714697480201721,1.288957118988037
15,0.971491813659668,0.0889933854341507,0.6829971075057983,1.293986439704895
16,0.9753667116165161,0.08168426156044006,0.6714697480201721,1.3100875616073608
17,0.9753667116165161,0.08113249391317368,0.6858789920806885,1.3132507801055908
18,0.9739828109741211,0.07655687630176544,0.6858789920806885,1.3284192085266113
19,0.9761970639228821,0.07147911936044693,0.680115282535553,1.3509999513626099
20,0.975089967250824,0.07179819047451019,0.6858789920806885,1.4062376022338867
21,0.9773041605949402,0.07110314071178436,0.6829971075057983,1.3820680379867554
22,0.9767506122589111,0.06881430745124817,0.6887608170509338,1.424790620803833
23,0.9767506122589111,0.07121697068214417,0.6945244669914246,1.4548759460449219
24,0.9795184135437012,0.06547795981168747,0.6657060384750366,1.5041038990020752
